"Model","Region","Scenario","Year","Item","Variable","value"
"FAO","EUR","FAO Historical","1979","Maize","YILD",4.62731257208604
"FAO","IND","FAO Historical","1979","Maize","YILD",0.979425235
"FAO","OSA","FAO Historical","1979","Maize","YILD",1.85526560072526
"FAO","SEA","FAO Historical","1979","Maize","YILD",1.51037273746971
"FAO","SSA","FAO Historical","1979","Maize","YILD",1.30443571593817
"FAO","USA","FAO Historical","1979","Maize","YILD",6.87342171
"FAO","WLD","FAO Historical","1979","Maize","YILD",3.385278144
"FAO","ANZ","FAO Historical","1980","Maize","YILD",4.18524922711369
"FAO","BRA","FAO Historical","1980","Maize","YILD",1.779020063
"FAO","CHN","FAO Historical","1980","Maize","YILD",3.07849625
"FAO","EUR","FAO Historical","1980","Maize","YILD",4.4858761737658
"FAO","IND","FAO Historical","1980","Maize","YILD",1.158573141
"FAO","OSA","FAO Historical","1980","Maize","YILD",1.83442225939723
"FAO","SEA","FAO Historical","1980","Maize","YILD",1.57348734116615
"FAO","SSA","FAO Historical","1980","Maize","YILD",1.45850030281916
"FAO","USA","FAO Historical","1980","Maize","YILD",5.711832159
"FAO","WLD","FAO Historical","1980","Maize","YILD",3.15483297
"FAO","ANZ","FAO Historical","1981","Maize","YILD",4.40651531195139
"FAO","BRA","FAO Historical","1981","Maize","YILD",1.833011815
"FAO","CHN","FAO Historical","1981","Maize","YILD",3.050691303
"FAO","EUR","FAO Historical","1981","Maize","YILD",4.60512060797752
"FAO","IND","FAO Historical","1981","Maize","YILD",1.162164895
"FAO","OSA","FAO Historical","1981","Maize","YILD",2.17612576993055
"FAO","SEA","FAO Historical","1981","Maize","YILD",1.63557486452306
"FAO","SSA","FAO Historical","1981","Maize","YILD",1.77700716866302
"FAO","USA","FAO Historical","1981","Maize","YILD",6.837962226
"FAO","WLD","FAO Historical","1981","Maize","YILD",3.495019622
"FAO","ANZ","FAO Historical","1982","Maize","YILD",4.79561183559115
"FAO","BRA","FAO Historical","1982","Maize","YILD",1.730847208
"FAO","CHN","FAO Historical","1982","Maize","YILD",3.268586151
"FAO","EUR","FAO Historical","1982","Maize","YILD",5.33893528631155
"FAO","IND","FAO Historical","1982","Maize","YILD",1.144782616
"FAO","OSA","FAO Historical","1982","Maize","YILD",2.01847509535103
"FAO","SEA","FAO Historical","1982","Maize","YILD",1.67612772978358
"FAO","SSA","FAO Historical","1982","Maize","YILD",1.36160947208251
"FAO","USA","FAO Historical","1982","Maize","YILD",7.108219464
"FAO","WLD","FAO Historical","1982","Maize","YILD",3.609080871
"FAO","ANZ","FAO Historical","1983","Maize","YILD",3.46065553618684
"FAO","BRA","FAO Historical","1983","Maize","YILD",1.749603282
"FAO","CHN","FAO Historical","1983","Maize","YILD",3.625524255
"FAO","EUR","FAO Historical","1983","Maize","YILD",5.01504095015281
"FAO","IND","FAO Historical","1983","Maize","YILD",1.352107868
"FAO","OSA","FAO Historical","1983","Maize","YILD",1.98166836366254
"FAO","SEA","FAO Historical","1983","Maize","YILD",1.74233635667931
"FAO","SSA","FAO Historical","1983","Maize","YILD",1.02938732464689
"FAO","USA","FAO Historical","1983","Maize","YILD",5.089277143
"FAO","WLD","FAO Historical","1983","Maize","YILD",2.947677076
"FAO","ANZ","FAO Historical","1984","Maize","YILD",4.56368308447754
"FAO","BRA","FAO Historical","1984","Maize","YILD",1.76097176
"FAO","CHN","FAO Historical","1984","Maize","YILD",3.961988038
"FAO","EUR","FAO Historical","1984","Maize","YILD",5.01952564148417
"FAO","IND","FAO Historical","1984","Maize","YILD",1.455608242
"FAO","OSA","FAO Historical","1984","Maize","YILD",2.07137900421054
"FAO","SEA","FAO Historical","1984","Maize","YILD",1.83828012623067
"FAO","SSA","FAO Historical","1984","Maize","YILD",1.0658792623786
"FAO","USA","FAO Historical","1984","Maize","YILD",6.698056244
"FAO","WLD","FAO Historical","1984","Maize","YILD",3.526857823
"FAO","ANZ","FAO Historical","1985","Maize","YILD",3.86123446553553
"FAO","BRA","FAO Historical","1985","Maize","YILD",1.86620823
"FAO","CHN","FAO Historical","1985","Maize","YILD",3.610251246
"FAO","EUR","FAO Historical","1985","Maize","YILD",5.13146668183582
"FAO","IND","FAO Historical","1985","Maize","YILD",1.146018768
"FAO","OSA","FAO Historical","1985","Maize","YILD",2.1868441235997
"FAO","SEA","FAO Historical","1985","Maize","YILD",1.91741782395343
"FAO","SSA","FAO Historical","1985","Maize","YILD",1.38481262487522
"FAO","USA","FAO Historical","1985","Maize","YILD",7.407445394
"FAO","WLD","FAO Historical","1985","Maize","YILD",3.72021953
"FAO","ANZ","FAO Historical","1986","Maize","YILD",4.48692734839881
"FAO","BRA","FAO Historical","1986","Maize","YILD",1.648556636
"FAO","CHN","FAO Historical","1986","Maize","YILD",3.707366407
"FAO","EUR","FAO Historical","1986","Maize","YILD",5.46452998578876
"FAO","IND","FAO Historical","1986","Maize","YILD",1.281896304
"FAO","OSA","FAO Historical","1986","Maize","YILD",2.19757440170242
"FAO","SEA","FAO Historical","1986","Maize","YILD",1.91875253423575
"FAO","SSA","FAO Historical","1986","Maize","YILD",1.34151526490501
"FAO","USA","FAO Historical","1986","Maize","YILD",7.493023061
"FAO","WLD","FAO Historical","1986","Maize","YILD",3.629090143
"FAO","ANZ","FAO Historical","1987","Maize","YILD",4.99201430141339
"FAO","BRA","FAO Historical","1987","Maize","YILD",1.984278607
"FAO","CHN","FAO Historical","1987","Maize","YILD",3.923047402
"FAO","EUR","FAO Historical","1987","Maize","YILD",4.99400071447897
"FAO","IND","FAO Historical","1987","Maize","YILD",1.028844252
"FAO","OSA","FAO Historical","1987","Maize","YILD",1.9723292888756
"FAO","SEA","FAO Historical","1987","Maize","YILD",1.8796593515715
"FAO","SSA","FAO Historical","1987","Maize","YILD",1.23665466593626
"FAO","USA","FAO Historical","1987","Maize","YILD",7.522508306
"FAO","WLD","FAO Historical","1987","Maize","YILD",3.486272168
"FAO","ANZ","FAO Historical","1988","Maize","YILD",4.82255968930346
"FAO","BRA","FAO Historical","1988","Maize","YILD",1.877527596
"FAO","CHN","FAO Historical","1988","Maize","YILD",3.930625288
"FAO","EUR","FAO Historical","1988","Maize","YILD",4.95862735731152
"FAO","IND","FAO Historical","1988","Maize","YILD",1.395475435
"FAO","OSA","FAO Historical","1988","Maize","YILD",2.03064951623745
"FAO","SEA","FAO Historical","1988","Maize","YILD",2.00534099154356
"FAO","SSA","FAO Historical","1988","Maize","YILD",1.39357295768251
"FAO","USA","FAO Historical","1988","Maize","YILD",5.310904743
"FAO","WLD","FAO Historical","1988","Maize","YILD",3.101227468
"FAO","ANZ","FAO Historical","1989","Maize","YILD",5.33847055125342
"FAO","BRA","FAO Historical","1989","Maize","YILD",2.058201963
"FAO","CHN","FAO Historical","1989","Maize","YILD",3.881320627
"FAO","EUR","FAO Historical","1989","Maize","YILD",5.0531455763959
"FAO","IND","FAO Historical","1989","Maize","YILD",1.631637673
"FAO","OSA","FAO Historical","1989","Maize","YILD",1.88572129412987
"FAO","SEA","FAO Historical","1989","Maize","YILD",2.07852885054822
"FAO","SSA","FAO Historical","1989","Maize","YILD",1.57169688551778
"FAO","USA","FAO Historical","1989","Maize","YILD",7.297795545
"FAO","WLD","FAO Historical","1989","Maize","YILD",3.619430666
"FAO","ANZ","FAO Historical","1990","Maize","YILD",5.44465913814878
"FAO","BRA","FAO Historical","1990","Maize","YILD",1.873548178
"FAO","CHN","FAO Historical","1990","Maize","YILD",4.525224547
"FAO","EUR","FAO Historical","1990","Maize","YILD",4.40332914586646
"FAO","IND","FAO Historical","1990","Maize","YILD",1.517825991
"FAO","OSA","FAO Historical","1990","Maize","YILD",2.09547791991533
"FAO","SEA","FAO Historical","1990","Maize","YILD",2.11359028808104
"FAO","SSA","FAO Historical","1990","Maize","YILD",1.36777607069223
"FAO","USA","FAO Historical","1990","Maize","YILD",7.43803239
"FAO","WLD","FAO Historical","1990","Maize","YILD",3.691536948
"FAO","ANZ","FAO Historical","1991","Maize","YILD",5.58210965763506
"FAO","BRA","FAO Historical","1991","Maize","YILD",1.808395784
"FAO","CHN","FAO Historical","1991","Maize","YILD",4.579886802
"FAO","EUR","FAO Historical","1991","Maize","YILD",5.8367385695983
"FAO","IND","FAO Historical","1991","Maize","YILD",1.376318394
"FAO","OSA","FAO Historical","1991","Maize","YILD",2.2068442951475
"FAO","SEA","FAO Historical","1991","Maize","YILD",2.18296564013338
"FAO","SSA","FAO Historical","1991","Maize","YILD",1.33974974384268
"FAO","USA","FAO Historical","1991","Maize","YILD",6.817223654
"FAO","WLD","FAO Historical","1991","Maize","YILD",3.697556384
"FAO","ANZ","FAO Historical","1992","Maize","YILD",6.18506345001603
"FAO","BRA","FAO Historical","1992","Maize","YILD",2.282777844
"FAO","CHN","FAO Historical","1992","Maize","YILD",4.53470856
"FAO","EUR","FAO Historical","1992","Maize","YILD",4.51247276478097
"FAO","IND","FAO Historical","1992","Maize","YILD",1.675823899
"FAO","OSA","FAO Historical","1992","Maize","YILD",2.50500623306677
"FAO","SEA","FAO Historical","1992","Maize","YILD",2.19799311550682
"FAO","SSA","FAO Historical","1992","Maize","YILD",0.975182319889777
"FAO","USA","FAO Historical","1992","Maize","YILD",8.252619511
"FAO","WLD","FAO Historical","1992","Maize","YILD",3.901701678
"FAO","ANZ","FAO Historical","1993","Maize","YILD",5.45474417776543
"FAO","BRA","FAO Historical","1993","Maize","YILD",2.532130551
"FAO","CHN","FAO Historical","1993","Maize","YILD",4.964171832
"FAO","EUR","FAO Historical","1993","Maize","YILD",4.78267971219401
"FAO","IND","FAO Historical","1993","Maize","YILD",1.601501251
"FAO","OSA","FAO Historical","1993","Maize","YILD",2.56669289615605
"FAO","SEA","FAO Historical","1993","Maize","YILD",2.30825599025358
"FAO","SSA","FAO Historical","1993","Maize","YILD",1.42805906433016
"FAO","USA","FAO Historical","1993","Maize","YILD",6.321069263
"FAO","WLD","FAO Historical","1993","Maize","YILD",3.630634364
"FAO","ANZ","FAO Historical","1994","Maize","YILD",5.93126912766864
"FAO","BRA","FAO Historical","1994","Maize","YILD",2.36294222
"FAO","CHN","FAO Historical","1994","Maize","YILD",4.69513382
"FAO","EUR","FAO Historical","1994","Maize","YILD",4.95112363704047
"FAO","IND","FAO Historical","1994","Maize","YILD",1.447961146
"FAO","OSA","FAO Historical","1994","Maize","YILD",2.42009793103364
"FAO","SEA","FAO Historical","1994","Maize","YILD",2.32788948197883
"FAO","SSA","FAO Historical","1994","Maize","YILD",1.4983549268333
"FAO","USA","FAO Historical","1994","Maize","YILD",8.69971007
"FAO","WLD","FAO Historical","1994","Maize","YILD",4.124256825
"FAO","ANZ","FAO Historical","1995","Maize","YILD",6.04161234741898
"FAO","BRA","FAO Historical","1995","Maize","YILD",2.600471236
"FAO","CHN","FAO Historical","1995","Maize","YILD",4.917620763
"FAO","EUR","FAO Historical","1995","Maize","YILD",5.31366180100831
"FAO","IND","FAO Historical","1995","Maize","YILD",1.594581034
"FAO","OSA","FAO Historical","1995","Maize","YILD",2.5403826968244
"FAO","SEA","FAO Historical","1995","Maize","YILD",2.1699423017311
"FAO","SSA","FAO Historical","1995","Maize","YILD",1.26971513292988
"FAO","USA","FAO Historical","1995","Maize","YILD",7.123005495
"FAO","WLD","FAO Historical","1995","Maize","YILD",3.810026295
"FAO","ANZ","FAO Historical","1996","Maize","YILD",7.13838308427751
"FAO","BRA","FAO Historical","1996","Maize","YILD",2.696976655
"FAO","CHN","FAO Historical","1996","Maize","YILD",5.203899365
"FAO","EUR","FAO Historical","1996","Maize","YILD",5.47589834474728
"FAO","IND","FAO Historical","1996","Maize","YILD",1.709365079
"FAO","OSA","FAO Historical","1996","Maize","YILD",2.44213934764961
"FAO","SEA","FAO Historical","1996","Maize","YILD",2.27145130922272
"FAO","SSA","FAO Historical","1996","Maize","YILD",1.58028176192775
"FAO","USA","FAO Historical","1996","Maize","YILD",7.977651813
"FAO","WLD","FAO Historical","1996","Maize","YILD",4.223038472
"FAO","ANZ","FAO Historical","1997","Maize","YILD",6.84324717928731
"FAO","BRA","FAO Historical","1997","Maize","YILD",2.622813065
"FAO","CHN","FAO Historical","1997","Maize","YILD",4.390161878
"FAO","EUR","FAO Historical","1997","Maize","YILD",6.47355901725221
"FAO","IND","FAO Historical","1997","Maize","YILD",1.711121658
"FAO","OSA","FAO Historical","1997","Maize","YILD",2.69672094429631
"FAO","SEA","FAO Historical","1997","Maize","YILD",2.30143376889295
"FAO","SSA","FAO Historical","1997","Maize","YILD",1.45606470349395
"FAO","USA","FAO Historical","1997","Maize","YILD",7.952225781
"FAO","WLD","FAO Historical","1997","Maize","YILD",4.149593416
"FAO","ANZ","FAO Historical","1998","Maize","YILD",5.99927529498206
"FAO","BRA","FAO Historical","1998","Maize","YILD",2.796443248
"FAO","CHN","FAO Historical","1998","Maize","YILD",5.268608608
"FAO","EUR","FAO Historical","1998","Maize","YILD",5.62480902805161
"FAO","IND","FAO Historical","1998","Maize","YILD",1.796943759
"FAO","OSA","FAO Historical","1998","Maize","YILD",2.97412860716657
"FAO","SEA","FAO Historical","1998","Maize","YILD",2.47621078991957
"FAO","SSA","FAO Historical","1998","Maize","YILD",1.40298280122882
"FAO","USA","FAO Historical","1998","Maize","YILD",8.438248911
"FAO","WLD","FAO Historical","1998","Maize","YILD",4.436614286
"FAO","ANZ","FAO Historical","1999","Maize","YILD",6.2606044997896
"FAO","BRA","FAO Historical","1999","Maize","YILD",2.759132834
"FAO","CHN","FAO Historical","1999","Maize","YILD",4.945754157
"FAO","EUR","FAO Historical","1999","Maize","YILD",6.28736567516908
"FAO","IND","FAO Historical","1999","Maize","YILD",1.792186356
"FAO","OSA","FAO Historical","1999","Maize","YILD",2.8196635590851
"FAO","SEA","FAO Historical","1999","Maize","YILD",2.44186905543623
"FAO","SSA","FAO Historical","1999","Maize","YILD",1.55986503373017
"FAO","USA","FAO Historical","1999","Maize","YILD",8.397861245
"FAO","WLD","FAO Historical","1999","Maize","YILD",4.425144383
"FAO","ANZ","FAO Historical","2000","Maize","YILD",5.87210930598504
"FAO","BRA","FAO Historical","2000","Maize","YILD",2.744741176
"FAO","CHN","FAO Historical","2000","Maize","YILD",4.599173981
